"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","86.881","86.897","87.483","86.755","27.56K","-0.02%"
"04/04/2023","86.897","85.784","87.360","85.595","83.56K","1.30%"
"04/03/2023","85.784","84.267","85.938","83.533","99.08K","1.45%"
"03/31/2023","84.560","84.268","84.942","83.842","102.68K","0.36%"
"03/30/2023","84.261","83.843","84.362","83.317","111.69K","0.50%"
"03/29/2023","83.843","82.991","84.025","82.968","142.55K","1.04%"
"03/28/2023","82.983","82.711","83.329","82.527","193.09K","0.34%"
"03/27/2023","82.704","83.285","83.288","82.238","137.28K","-0.55%"
"03/24/2023","83.161","82.346","83.237","81.978","101.54K","0.99%"
"03/23/2023","82.346","83.610","84.173","82.278","74.07K","-1.51%"
"03/22/2023","83.610","83.221","83.986","82.776","92.52K","0.47%"
"03/21/2023","83.218","83.068","83.229","82.363","106.21K","0.17%"
"03/20/2023","83.072","82.201","83.119","81.901","106.68K","1.20%"
"03/17/2023","82.086","81.197","82.471","81.166","121.11K","1.09%"
"03/16/2023","81.197","80.529","82.391","80.461","152.16K","0.83%"
"03/15/2023","80.525","81.261","81.575","79.635","142.11K","-0.90%"
"03/14/2023","81.257","80.622","81.431","80.452","135.32K","0.93%"
"03/13/2023","80.509","81.401","81.812","78.783","148.28K","-0.72%"
"03/10/2023","81.092","80.291","81.485","79.957","116.75K","0.99%"
"03/09/2023","80.295","80.225","80.698","79.820","93.73K","0.09%"
"03/08/2023","80.225","79.750","80.734","79.569","68.71K","0.60%"
"03/07/2023","79.750","80.569","81.060","79.489","100.91K","-1.02%"
"03/06/2023","80.569","80.116","80.846","79.968","98.60K","0.47%"
"03/03/2023","80.196","80.049","80.515","79.665","96.93K","0.18%"
"03/02/2023","80.049","80.300","80.512","79.447","116.55K","-0.31%"
"03/01/2023","80.300","79.384","80.473","79.294","154.96K","1.16%"
"02/28/2023","79.380","79.204","80.161","78.322","142.04K","0.22%"
"02/27/2023","79.204","80.226","80.566","78.712","122.28K","-1.19%"
"02/24/2023","80.158","79.909","80.727","79.345","132.43K","0.31%"
"02/23/2023","79.909","79.435","80.429","79.411","96.96K","0.59%"
"02/22/2023","79.439","79.510","80.606","79.184","106.32K","-0.09%"
"02/21/2023","79.510","77.979","80.711","77.833","113.77K","1.96%"
"02/20/2023","77.979","78.317","81.496","77.979","96.97K","-0.98%"
"02/17/2023","78.754","79.672","79.999","78.481","158.77K","-1.18%"
"02/16/2023","79.691","79.121","80.314","79.069","154.56K","0.73%"
"02/15/2023","79.113","79.013","80.810","78.200","121.73K","0.12%"
"02/14/2023","79.017","78.551","79.800","78.457","117.28K","0.58%"
"02/13/2023","78.558","78.067","79.707","77.432","104.71K","-0.31%"
"02/10/2023","78.802","78.268","79.207","77.635","92.40K","0.69%"
"02/09/2023","78.260","77.209","79.122","76.796","100.69K","1.36%"
"02/08/2023","77.209","76.217","79.059","74.049","91.27K","1.30%"
"02/07/2023","76.217","76.716","78.711","74.056","138.64K","-0.65%"
"02/06/2023","76.712","76.244","77.668","74.488","123.78K","0.58%"
"02/03/2023","76.274","76.406","78.158","76.091","154.67K","-0.17%"
"02/02/2023","76.406","77.019","77.309","76.273","152.16K","-0.80%"
"02/01/2023","77.019","76.662","77.159","75.682","127.66K","0.47%"
"01/31/2023","76.662","75.865","77.889","75.759","163.33K","1.06%"
"01/30/2023","75.858","76.899","76.913","75.429","120.98K","0.06%"
"01/27/2023","75.814","75.713","75.887","75.067","121.20K","0.14%"
"01/26/2023","75.706","75.606","76.075","75.009","114.21K","0.13%"
"01/25/2023","75.606","75.631","75.860","74.571","99.25K","-0.03%"
"01/24/2023","75.631","75.968","75.975","74.536","103.71K","-0.44%"
"01/23/2023","75.968","74.157","75.996","74.154","111.98K","2.53%"
"01/20/2023","74.092","75.188","75.257","73.129","103.85K","-1.46%"
"01/19/2023","75.188","74.236","75.653","74.126","131.71K","1.29%"
"01/18/2023","74.233","73.908","75.342","73.744","137.49K","0.43%"
"01/17/2023","73.911","74.456","75.390","73.869","166.51K","-0.73%"
"01/16/2023","74.456","71.425","74.950","71.425","100.39K","-0.39%"
"01/13/2023","74.748","73.608","75.066","72.868","148.45K","1.54%"
"01/12/2023","73.615","75.682","75.748","72.439","159.93K","-2.73%"
"01/11/2023","75.682","74.824","75.699","73.325","117.50K","1.15%"
"01/10/2023","74.824","75.040","75.112","74.250","144.75K","-0.29%"
"01/09/2023","75.040","77.307","77.415","74.152","154.31K","-2.76%"
"01/06/2023","77.169","75.909","77.328","75.069","122.92K","1.66%"
"01/05/2023","75.909","75.833","77.132","75.297","106.54K","0.10%"
"01/04/2023","75.833","77.046","77.928","73.978","122.27K","-1.56%"
"01/03/2023","77.039","75.807","77.620","74.550","94.89K","1.62%"
