Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.A.RUB.EUR.SP00.A
,EXR.A.RUB.EUR.SP00.A
,"ECB reference exchange rate, Russian rouble/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[Russian rouble ]
,,obs. status
2021,87.1527,Normal value (A)
2020,82.7248,Normal value (A)
2019,72.4553,Normal value (A)
2018,74.0416,Normal value (A)
2017,65.9383,Normal value (A)
2016,74.1446,Normal value (A)
2015,68.0720,Normal value (A)
2014,50.9518,Normal value (A)
2013,42.3370,Normal value (A)
2012,39.9262,Normal value (A)
2011,40.8846,Normal value (A)
2010,40.2629,Normal value (A)
2009,44.1376,Normal value (A)
2008,36.4207,Normal value (A)
2007,35.0183,Normal value (A)
2006,34.1117,Normal value (A)
2005,35.1884,Normal value (A)
2004,35.8192,Normal value (A)
2003,34.6699,Normal value (A)
2002,29.7028,Normal value (A)
2001,26.1510,Normal value (A)
2000,26.0182,Normal value (A)
1999,26.5187,Normal value (A)
